Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2022-10-07T14:16:01+0200,Trade,BUY_TO_OPEN,./ESZ2 E2AV2 221010C3925,Future Option,Bought 1 /ESZ2 E2AV2 10/10/22 Call 3925.00 @ 1.15,-57.50,1,-57.50,-2.50,-0.87,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3925.0,CALL,236471200
2022-10-07T14:16:01+0200,Trade,BUY_TO_OPEN,./ESZ2 E2AV2 221010P3535,Future Option,Bought 1 /ESZ2 E2AV2 10/10/22 Put 3535.00 @ 0.95,-47.50,1,-47.50,-2.50,-0.87,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3535.0,PUT,236471200
2022-10-07T14:14:49+0200,Trade,BUY_TO_OPEN,./ESZ2 E2AV2 221010C3930,Future Option,Bought 1 /ESZ2 E2AV2 10/10/22 Call 3930.00 @ 0.95,-47.50,1,-47.50,-2.50,-0.87,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3930.0,CALL,236471148
2022-10-07T14:14:49+0200,Trade,BUY_TO_OPEN,./ESZ2 E2AV2 221010P3535,Future Option,Bought 1 /ESZ2 E2AV2 10/10/22 Put 3535.00 @ 0.95,-47.50,1,-47.50,-2.50,-0.87,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3535.0,PUT,236471148
2022-10-07T14:13:29+0200,Trade,BUY_TO_OPEN,./ESZ2 E2AV2 221010C3930,Future Option,Bought 1 /ESZ2 E2AV2 10/10/22 Call 3930.00 @ 0.95,-47.50,1,-47.50,-2.50,-0.87,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3930.0,CALL,236471101
2022-10-07T14:13:29+0200,Trade,BUY_TO_OPEN,./ESZ2 E2AV2 221010P3540,Future Option,Bought 1 /ESZ2 E2AV2 10/10/22 Put 3540.00 @ 1.0,-50.00,1,-50.00,-2.50,-0.87,1,"./ESZ2 E2AV2 ",/ESZ2,10/10/22,3540.0,PUT,236471101
2022-10-06T15:43:04+0200,Trade,SELL_TO_CLOSE,./ESZ2 EW1V2 221007C3920,Future Option,Sold 1 /ESZ2 EW1V2 10/07/22 Call 3920.00 @ 2.0,100.00,1,100.00,0.00,-0.87,1,"./ESZ2 EW1V2 ",/ESZ2,10/07/22,3920.0,CALL,236305059
2022-10-06T15:33:45+0200,Trade,SELL_TO_CLOSE,./ESZ2 EW1V2 221007P3610,Future Option,Sold 1 /ESZ2 EW1V2 10/07/22 Put 3610.00 @ 0.7,35.00,1,35.00,0.00,-0.87,1,"./ESZ2 EW1V2 ",/ESZ2,10/07/22,3610.0,PUT,236297919
2022-10-06T15:08:52+0200,Trade,BUY_TO_OPEN,./ESZ2 EW1V2 221007C3920,Future Option,Bought 1 /ESZ2 EW1V2 10/07/22 Call 3920.00 @ 1.1,-55.00,1,-55.00,-2.50,-0.87,1,"./ESZ2 EW1V2 ",/ESZ2,10/07/22,3920.0,CALL,236291759
2022-10-06T15:08:52+0200,Trade,BUY_TO_OPEN,./ESZ2 EW1V2 221007P3610,Future Option,Bought 1 /ESZ2 EW1V2 10/07/22 Put 3610.00 @ 0.95,-47.50,1,-47.50,-2.50,-0.87,1,"./ESZ2 EW1V2 ",/ESZ2,10/07/22,3610.0,PUT,236291759
